T_K,xi_pi,u,alpha_c,beta_c
1.0000000000e+02,3.2293233083e-01,6.7706766917e-01,1.4086228029e-01,3.2674116011e-03
1.0000000000e+02,3.2230576441e-01,6.7769423559e-01,1.4040220180e-01,3.4770738171e-03
1.0000000000e+02,3.2167919799e-01,6.7832080201e-01,1.3993969451e-01,3.6882316164e-03
1.0000000000e+02,3.2105263158e-01,6.7894736842e-01,1.3947475472e-01,3.9008911378e-03
1.0000000000e+02,3.2042606516e-01,6.7957393484e-01,1.3900737872e-01,4.1150585351e-03
1.0000000000e+02,3.1979949875e-01,6.8020050125e-01,1.3853756279e-01,4.3307399769e-03
1.0000000000e+02,3.1917293233e-01,6.8082706767e-01,1.3806530322e-01,4.5479416470e-03
1.0000000000e+02,3.1854636591e-01,6.8145363409e-01,1.3759059629e-01,4.7666697443e-03
1.0000000000e+02,3.1791979950e-01,6.8208020050e-01,1.3711343831e-01,4.9869304826e-03
1.0000000000e+02,3.1729323308e-01,6.8270676692e-01,1.3663382554e-01,5.2087300909e-03
1.0000000000e+02,3.1666666667e-01,6.8333333333e-01,1.3615175429e-01,5.4320748131e-03
1.0000000000e+02,3.1604010025e-01,6.8395989975e-01,1.3566722083e-01,5.6569709085e-03
1.0000000000e+02,3.1541353383e-01,6.8458646617e-01,1.3518022145e-01,5.8834246512e-03
1.0000000000e+02,3.1478696742e-01,6.8521303258e-01,1.3469075245e-01,6.1114423307e-03
1.0000000000e+02,3.1416040100e-01,6.8583959900e-01,1.3419881011e-01,6.3410302516e-03
1.0000000000e+02,3.1353383459e-01,6.8646616541e-01,1.3370439071e-01,6.5721947337e-03
1.0000000000e+02,3.1290726817e-01,6.8709273183e-01,1.3320749054e-01,6.8049421117e-03
1.0000000000e+02,3.1228070175e-01,6.8771929825e-01,1.3270810589e-01,7.0392787360e-03
1.0000000000e+02,3.1165413534e-01,6.8834586466e-01,1.3220623305e-01,7.2752109719e-03
1.0000000000e+02,3.1102756892e-01,6.8897243108e-01,1.3170186830e-01,7.5127452000e-03
1.0000000000e+02,3.1040100251e-01,6.8959899749e-01,1.3119500794e-01,7.7518878162e-03
1.0000000000e+02,3.0977443609e-01,6.9022556391e-01,1.3068564824e-01,7.9926452316e-03
1.0000000000e+02,3.0914786967e-01,6.9085213033e-01,1.3017378549e-01,8.2350238728e-03
1.0000000000e+02,3.0852130326e-01,6.9147869674e-01,1.2965941599e-01,8.4790301815e-03
1.0000000000e+02,3.0789473684e-01,6.9210526316e-01,1.2914253601e-01,8.7246706148e-03
1.0000000000e+02,3.0726817043e-01,6.9273182957e-01,1.2862314185e-01,8.9719516452e-03
1.0000000000e+02,3.0664160401e-01,6.9335839599e-01,1.2810122980e-01,9.2208797605e-03
1.0000000000e+02,3.0601503759e-01,6.9398496241e-01,1.2757679613e-01,9.4714614640e-03
1.0000000000e+02,3.0538847118e-01,6.9461152882e-01,1.2704983713e-01,9.7237032741e-03
1.0000000000e+02,3.0476190476e-01,6.9523809524e-01,1.2652034910e-01,9.9776117250e-03
1.0000000000e+02,3.0413533835e-01,6.9586466165e-01,1.2598832832e-01,1.0233193366e-02
1.0000000000e+02,3.0350877193e-01,6.9649122807e-01,1.2545377107e-01,1.0490454762e-02
1.0000000000e+02,3.0288220551e-01,6.9711779449e-01,1.2491667364e-01,1.0749402494e-02
1.0000000000e+02,3.0225563910e-01,6.9774436090e-01,1.2437703232e-01,1.1010043157e-02
1.0000000000e+02,3.0162907268e-01,6.9837092732e-01,1.2383484340e-01,1.1272383362e-02
1.0000000000e+02,3.0100250627e-01,6.9899749373e-01,1.2329010316e-01,1.1536429738e-02
1.0000000000e+02,3.0037593985e-01,6.9962406015e-01,1.2274280789e-01,1.1802188925e-02
1.0000000000e+02,2.9974937343e-01,7.0025062657e-01,1.2219295387e-01,1.2069667582e-02
1.0000000000e+02,2.9912280702e-01,7.0087719298e-01,1.2164053740e-01,1.2338872382e-02
1.0000000000e+02,2.9849624060e-01,7.0150375940e-01,1.2108555475e-01,1.2609810016e-02
1.0000000000e+02,2.9786967419e-01,7.0213032581e-01,1.2052800222e-01,1.2882487186e-02
1.0000000000e+02,2.9724310777e-01,7.0275689223e-01,1.1996787608e-01,1.3156910614e-02
1.0000000000e+02,2.9661654135e-01,7.0338345865e-01,1.1940517264e-01,1.3433087036e-02
1.0000000000e+02,2.9598997494e-01,7.0401002506e-01,1.1883988816e-01,1.3711023203e-02
1.0000000000e+02,2.9536340852e-01,7.0463659148e-01,1.1827201895e-01,1.3990725883e-02
1.0000000000e+02,2.9473684211e-01,7.0526315789e-01,1.1770156128e-01,1.4272201858e-02
1.0000000000e+02,2.9411027569e-01,7.0588972431e-01,1.1712851145e-01,1.4555457928e-02
